Species,Average_Length_m,Maximum_Length_m,Average_Weight_kg,Maximum_Weight_kg,Lifespan_years,Swimming_Speed_kmh,Bite_Force_N,Gestation_Period_months,Number_of_Teeth,Diet_kg_per_week
Sand Tiger Shark,3.03,3.37,167.39,284.89,13,25.92,2904.76,8,196,49.84
Great White Shark,4.73,6.95,1008.93,1998.14,66,53.56,19732.1,11,274,217.05
Sand Tiger Shark,3.09,3.0,156.36,309.7,15,23.07,3147.35,9,181,51.03
Great White Shark,4.6,6.05,1024.77,2116.94,70,53.52,18776.97,12,323,212.9
Sand Tiger Shark,3.09,3.23,167.82,273.48,15,22.09,2970.25,8,218,46.79
Great White Shark,4.83,5.99,1165.63,2275.59,77,60.74,19088.54,12,317,205.3
Sand Tiger Shark,3.26,2.91,168.99,327.24,14,22.61,2774.21,8,212,46.87
Great White Shark,4.33,5.97,1021.19,2220.24,68,57.81,19796.81,11,299,198.41
Sand Tiger Shark,2.75,3.14,156.56,311.3,16,23.08,3088.88,9,188,54.02
Great White Shark,4.92,6.91,1178.2,2145.57,63,58.48,16302.94,13,307,187.15
Sand Tiger Shark,2.93,2.88,164.61,314.8,16,22.43,3243.95,8,213,46.1
Great White Shark,4.84,6.27,1134.07,2346.63,67,57.59,16688.15,11,300,191.86
Sand Tiger Shark,2.88,3.5,151.03,317.71,14,22.1,2881.76,8,186,51.4
Great White Shark,4.37,6.26,1055.18,2112.54,69,55.46,18808.24,11,320,194.08
Sand Tiger Shark,2.84,3.41,169.95,294.71,14,21.66,3019.3,9,187,46.21
Great White Shark,4.68,6.38,1106.24,2060.13,64,51.02,17583.71,12,287,201.18
Sand Tiger Shark,2.78,3.29,162.57,296.93,16,24.63,2739.36,9,210,52.33
Great White Shark,4.53,6.64,1135.29,1985.94,76,57.27,17080.89,12,328,214.73
Sand Tiger Shark,2.8,3.2,151.24,295.07,16,25.01,2931.02,9,211,47.91
Great White Shark,4.39,6.88,1115.76,2243.39,70,60.26,19235.73,11,310,208.05
Sand Tiger Shark,2.75,3.03,148.95,294.7,15,25.11,2761.69,8,203,47.85
Great White Shark,4.43,6.56,1016.43,2001.4,63,53.17,16719.43,12,278,196.98
Sand Tiger Shark,3.15,2.99,172.62,300.23,13,24.91,2983.11,9,218,45.11
Great White Shark,4.09,6.82,991.69,2358.29,65,52.1,17724.11,10,279,188.15
Sand Tiger Shark,3.03,3.01,157.73,276.52,14,21.99,2765.51,9,197,50.11
Great White Shark,4.08,6.47,1007.77,2076.35,74,61.59,17691.94,12,279,185.64
Sand Tiger Shark,3.01,3.12,144.98,323.82,14,22.4,2922.28,9,216,53.25
Great White Shark,4.57,6.84,1176.96,2092.82,72,59.78,17439.07,13,286,188.91
Sand Tiger Shark,3.26,3.27,145.82,277.25,15,26.06,2751.17,9,200,54.05
Great White Shark,4.14,6.77,1185.55,2381.49,68,61.16,16931.14,10,315,203.54
Sand Tiger Shark,3.06,3.24,150.92,272.65,13,24.54,2787.66,8,180,54.43
Great White Shark,4.8,5.98,1198.47,2311.76,68,61.59,19777.4,11,327,214.28
Sand Tiger Shark,2.77,3.19,162.9,328.37,14,24.52,3153.32,9,186,49.29
Great White Shark,4.48,6.88,1168.9,2296.79,69,51.09,17170.0,11,309,209.78
Sand Tiger Shark,3.17,3.27,150.07,298.52,16,25.26,2774.87,8,215,49.59
Great White Shark,4.78,6.25,1080.03,2106.3,74,53.32,18674.16,11,330,216.85
Sand Tiger Shark,3.25,2.91,174.02,270.24,15,25.05,2900.04,9,192,45.4
Great White Shark,4.16,6.85,1136.13,2018.32,65,51.2,18049.07,11,309,213.35
Sand Tiger Shark,2.89,3.49,146.15,307.18,16,22.23,3245.78,8,195,46.16
Great White Shark,4.68,6.38,1128.03,2309.9,74,53.49,16666.39,12,289,180.41
Sand Tiger Shark,3.27,3.48,167.36,297.17,13,25.18,3064.13,8,220,54.81
Great White Shark,4.12,6.02,1031.46,2228.66,66,59.7,19365.48,11,312,209.78
Sand Tiger Shark,2.72,2.98,170.4,284.59,16,22.85,2965.31,9,180,47.47
Great White Shark,4.75,6.01,1058.83,2413.99,66,58.25,18566.02,11,294,201.8
Sand Tiger Shark,3.0,3.3,159.74,289.43,15,22.24,3285.14,8,214,52.59
Great White Shark,4.14,5.8,1169.37,2334.16,70,52.87,18334.24,10,297,190.44
Sand Tiger Shark,3.14,2.9,147.11,271.19,15,23.17,3206.28,9,201,48.73
Great White Shark,4.48,6.27,1202.07,2195.8,72,59.55,17268.45,13,287,219.84
Sand Tiger Shark,2.93,3.47,168.81,319.26,15,24.69,3119.15,8,197,52.38
Great White Shark,4.64,5.79,1063.59,2117.64,63,55.19,16478.15,13,328,203.84
Sand Tiger Shark,3.06,2.94,170.52,276.46,13,25.58,2734.33,9,181,46.14
Great White Shark,4.24,6.92,991.99,2117.59,65,53.67,17588.35,12,274,204.77
Sand Tiger Shark,3.18,3.25,165.5,323.91,16,23.79,3059.94,9,205,46.5
Great White Shark,4.62,6.34,1007.96,2283.57,65,50.57,18026.48,13,327,213.92
Sand Tiger Shark,3.28,3.1,150.29,282.74,16,24.76,2713.18,9,182,49.02
Great White Shark,4.09,6.86,1182.09,2399.54,72,53.24,18464.76,11,279,201.86
Sand Tiger Shark,2.9,3.33,158.36,310.52,15,22.79,3061.1,8,195,48.76
Great White Shark,4.63,6.68,1079.48,2242.95,64,53.59,16999.07,12,312,187.1
Sand Tiger Shark,2.91,2.94,163.61,297.94,16,23.83,3281.24,9,199,50.48
Great White Shark,4.74,6.69,1055.06,2343.17,72,56.58,17722.86,13,295,183.94
Sand Tiger Shark,3.01,3.12,148.63,270.34,15,23.12,2864.5,8,187,47.83
Great White Shark,4.31,5.88,1098.39,2300.73,64,59.51,18109.97,10,294,214.72
Sand Tiger Shark,2.79,3.08,164.07,296.25,15,22.67,3133.13,8,198,51.39
Great White Shark,4.29,6.31,1006.2,2032.88,65,54.56,17228.24,11,280,210.51
Sand Tiger Shark,2.75,3.43,146.98,315.07,14,22.07,2716.19,9,184,52.0
Great White Shark,4.68,6.97,1193.01,2161.96,66,58.08,19088.63,11,302,214.05
Sand Tiger Shark,3.23,3.08,163.77,308.23,16,21.77,3022.9,8,188,45.81
Great White Shark,4.62,5.77,1006.17,2228.02,70,57.37,19617.22,10,294,206.66
Sand Tiger Shark,2.96,3.1,153.68,270.59,13,22.78,3032.11,9,203,48.56
Great White Shark,4.19,6.31,1109.34,2322.34,75,59.63,19163.29,11,287,215.88
Sand Tiger Shark,2.84,3.05,162.39,302.57,15,23.68,2853.78,8,212,45.27
Great White Shark,4.77,7.02,1117.21,2006.35,73,51.13,17243.64,11,304,181.93
Sand Tiger Shark,3.14,3.16,161.04,304.15,15,23.59,3299.62,9,200,45.26
Great White Shark,4.15,6.79,1128.84,2179.41,72,52.75,18910.37,12,311,197.18
Sand Tiger Shark,3.28,3.26,161.35,280.92,14,22.72,3106.99,8,203,52.2
Great White Shark,4.86,6.44,1025.98,2065.41,75,58.35,16659.71,11,323,208.02
Sand Tiger Shark,2.73,3.38,145.53,290.75,15,21.85,3018.36,9,210,50.66
Great White Shark,4.79,6.18,1041.27,2206.83,72,51.25,16522.05,13,272,207.49
Sand Tiger Shark,3.16,3.48,144.01,309.38,13,24.06,2805.54,8,190,51.61
Great White Shark,4.35,6.86,1198.15,2418.56,66,50.75,18866.37,13,313,204.27
Sand Tiger Shark,2.85,3.15,157.26,298.99,16,22.69,3168.15,8,182,52.52
Great White Shark,4.18,6.57,1124.86,2052.03,74,51.77,18569.99,11,300,195.78
Sand Tiger Shark,2.82,3.18,162.12,326.69,13,24.4,3003.43,8,215,51.58
Great White Shark,4.63,6.77,1016.17,1990.16,71,52.67,17371.99,11,281,191.93
Sand Tiger Shark,3.02,3.07,159.13,280.93,13,23.12,2930.7,9,193,45.78
Great White Shark,4.87,6.03,1026.57,2005.2,77,53.74,16988.23,11,278,182.31
Sand Tiger Shark,2.76,2.95,157.11,320.69,16,22.75,3168.51,9,203,53.77
Great White Shark,4.07,6.62,1135.92,2277.23,65,56.27,16529.48,12,326,210.41
Sand Tiger Shark,3.01,3.07,159.05,325.92,15,22.96,2813.94,8,215,52.89
Great White Shark,4.72,5.76,1009.26,2259.71,67,59.63,16515.72,10,330,191.27
Sand Tiger Shark,3.07,3.07,163.74,277.53,16,22.83,3000.38,8,200,51.3
Great White Shark,4.16,6.59,1052.17,2072.21,64,52.53,19066.78,13,301,211.9
Sand Tiger Shark,2.97,3.41,157.58,325.41,13,25.55,2999.35,9,183,53.95
Great White Shark,4.82,6.0,1123.25,2012.42,67,57.91,17561.05,11,324,216.17
Sand Tiger Shark,3.19,3.12,173.92,306.64,16,25.56,2920.88,8,197,46.72
Great White Shark,4.65,6.25,1122.72,2060.82,65,53.14,16220.15,13,317,218.46
Sand Tiger Shark,2.86,3.02,147.61,282.92,16,22.81,2700.23,8,185,53.23
Great White Shark,4.88,6.68,1209.43,2391.11,76,52.43,19246.99,12,282,190.24
Sand Tiger Shark,3.29,3.28,150.02,318.4,16,24.03,3290.9,9,199,48.69
Great White Shark,4.69,6.08,1096.21,2219.96,76,57.44,16768.43,10,307,197.81
Sand Tiger Shark,3.23,3.29,156.91,318.19,16,25.0,2996.27,8,220,53.4
Great White Shark,4.25,6.97,1185.94,2162.88,70,61.23,19140.63,12,284,189.57
Sand Tiger Shark,3.2,3.46,154.1,306.89,14,22.18,2764.6,8,199,53.41
Great White Shark,4.61,6.17,1095.38,2206.91,71,61.25,16886.82,10,272,197.26
Sand Tiger Shark,2.72,3.22,166.61,315.07,16,24.71,2731.61,8,182,48.89
Great White Shark,4.33,6.01,1169.97,2413.93,75,56.63,16770.12,12,300,203.45
Sand Tiger Shark,2.85,3.5,162.4,277.57,15,25.48,3051.69,8,216,54.96
Great White Shark,4.48,5.94,1190.82,2361.75,75,52.13,17048.27,11,329,191.65
Sand Tiger Shark,2.71,3.08,161.82,324.71,16,21.97,3063.44,8,202,54.34
Great White Shark,4.7,7.01,1031.47,2307.05,76,55.59,18838.96,13,302,198.88
Sand Tiger Shark,2.96,3.47,154.02,298.39,15,25.28,3133.86,9,183,48.19
Great White Shark,4.69,6.7,1178.75,2037.39,65,56.13,17307.98,10,274,202.13
Sand Tiger Shark,3.0,3.24,157.54,306.32,13,22.77,3116.26,9,214,45.3
Great White Shark,4.73,5.91,1030.04,2218.93,76,54.38,19718.0,10,325,187.91
Sand Tiger Shark,3.03,3.31,149.32,276.44,14,25.62,2932.52,8,190,45.36
Great White Shark,4.78,6.63,1086.22,2015.24,63,58.72,19661.82,13,326,208.99
Sand Tiger Shark,2.71,3.35,158.97,326.87,14,24.12,3177.42,8,202,46.04
Great White Shark,4.81,6.55,1001.15,2155.84,75,51.01,17656.77,10,315,204.95
Sand Tiger Shark,2.89,3.46,151.06,313.1,16,25.54,3140.79,8,185,50.77
Great White Shark,4.62,7.02,1066.62,2070.86,64,51.26,19212.41,13,313,218.31
Sand Tiger Shark,3.23,3.43,168.91,312.58,13,23.35,2758.25,8,213,52.99
Great White Shark,4.34,6.09,1163.62,2264.36,63,53.06,17182.05,13,279,189.27
Sand Tiger Shark,3.24,3.33,172.77,311.58,14,22.78,3097.18,8,202,46.95
Great White Shark,4.82,6.87,1078.13,2239.63,73,59.03,16362.92,12,315,192.16
Sand Tiger Shark,2.73,2.9,150.44,315.92,16,23.9,3152.75,8,188,53.07
Great White Shark,4.66,6.0,1003.89,2090.95,65,57.25,19110.36,12,284,187.8
Sand Tiger Shark,2.94,3.01,165.63,313.99,13,22.53,2871.25,9,215,47.64
Great White Shark,4.41,6.82,998.09,2360.12,70,56.95,16284.98,12,310,200.87
Sand Tiger Shark,2.93,3.1,174.81,287.51,13,21.93,2716.16,8,195,53.94
Great White Shark,4.86,5.8,1188.77,2020.8,64,59.6,18941.47,12,310,208.75
Sand Tiger Shark,3.12,3.11,146.31,324.17,15,25.31,2825.37,8,181,50.38
Great White Shark,4.71,6.34,1003.23,2203.47,75,54.62,19319.72,10,280,192.66
Sand Tiger Shark,3.07,3.23,168.81,300.34,14,23.13,3053.68,9,215,50.76
Great White Shark,4.47,5.84,1203.05,2412.98,69,60.1,19151.89,12,276,205.39
Sand Tiger Shark,2.73,3.23,156.59,305.8,15,22.47,3056.45,9,204,52.85
Great White Shark,4.35,6.75,1119.78,2312.89,70,56.27,17969.83,11,281,184.59
Sand Tiger Shark,3.23,3.08,171.63,325.25,16,22.41,3215.98,9,209,52.15
Great White Shark,4.8,6.78,1005.31,2156.91,67,56.51,19722.86,10,281,208.26
Sand Tiger Shark,2.96,3.43,146.55,288.85,14,24.52,3041.52,9,194,52.27
Great White Shark,4.9,7.0,1186.66,2357.58,66,51.12,17789.58,11,278,213.55
Sand Tiger Shark,3.03,3.15,144.51,312.01,14,25.36,2890.63,9,207,54.26
Great White Shark,4.45,6.79,1148.4,1982.34,64,51.22,16214.24,13,295,206.47
Sand Tiger Shark,2.97,3.23,158.53,320.06,13,21.85,3037.9,8,199,48.65
Great White Shark,4.32,6.42,1146.74,2400.93,64,53.76,18817.05,12,309,189.55
Sand Tiger Shark,2.86,3.0,147.93,328.68,15,24.16,2913.51,9,202,54.88
Great White Shark,4.46,5.87,1068.44,2228.93,65,51.86,18432.36,13,279,195.9
Sand Tiger Shark,3.03,3.19,175.17,317.39,13,23.88,3188.68,9,195,47.42
Great White Shark,4.59,6.35,1030.9,2051.73,68,52.87,18693.88,10,313,206.47
Sand Tiger Shark,2.78,3.25,161.37,305.1,14,22.41,2733.45,9,200,54.5
Great White Shark,4.92,6.4,1031.02,2377.02,70,56.52,17129.55,11,315,214.58
Sand Tiger Shark,3.03,3.14,161.96,298.5,15,22.45,3016.38,9,220,52.6
Great White Shark,4.12,6.9,1021.88,2109.77,68,60.6,16399.84,12,324,195.53
Sand Tiger Shark,2.86,2.91,170.43,294.58,15,25.15,2786.38,9,197,54.33
Great White Shark,4.33,6.84,1118.07,2144.68,75,56.25,16502.71,10,272,180.55
Sand Tiger Shark,3.16,3.09,164.95,312.86,15,22.74,2790.79,8,217,51.88
Great White Shark,4.82,7.02,1030.08,2086.34,66,57.14,18317.26,12,293,209.81
Sand Tiger Shark,3.17,3.0,154.28,326.99,15,24.07,3095.82,8,184,47.05
Great White Shark,4.61,6.27,1058.75,2384.9,76,58.48,18245.26,10,326,201.99
Sand Tiger Shark,3.09,3.39,147.33,329.38,14,21.6,3115.89,9,203,46.29
Great White Shark,4.65,5.99,1135.34,2050.66,70,51.48,18965.04,10,308,205.6
Sand Tiger Shark,3.12,3.13,168.77,319.73,15,23.7,2851.14,9,218,49.15
Great White Shark,4.08,6.97,1095.41,2003.12,64,52.24,16422.87,12,308,189.95
Sand Tiger Shark,3.1,3.27,166.3,308.95,14,23.27,2788.62,8,180,54.66
Great White Shark,4.62,7.01,1072.91,2262.45,64,56.8,19174.93,12,308,218.8
Sand Tiger Shark,2.75,3.51,168.83,301.25,13,22.94,2816.03,8,204,45.24
Great White Shark,4.45,6.63,1140.77,2002.63,69,53.59,17381.17,13,299,190.74
Sand Tiger Shark,2.97,3.14,153.12,298.82,13,25.98,3041.41,8,180,47.09
Great White Shark,4.19,6.57,1074.47,2271.58,71,59.73,16688.25,11,284,201.25
Sand Tiger Shark,3.28,2.95,173.43,288.97,13,23.18,2733.1,8,185,47.32
Great White Shark,4.52,6.81,1088.51,2148.67,63,57.83,16979.59,13,330,208.71
Sand Tiger Shark,3.22,3.43,152.0,298.06,14,25.46,3092.15,9,204,45.29
Great White Shark,4.86,6.93,1147.12,2106.13,75,60.14,19278.35,13,282,217.77
Sand Tiger Shark,2.84,3.03,158.01,286.16,13,23.85,2943.71,8,215,46.02
Great White Shark,4.87,6.54,1077.63,2355.03,70,54.74,19045.02,12,283,205.64
Sand Tiger Shark,3.11,3.26,166.67,282.67,15,26.2,2900.04,8,204,49.46
Great White Shark,4.4,6.09,1196.67,2416.61,71,55.16,16570.98,10,273,182.68
Sand Tiger Shark,2.75,3.23,158.07,286.12,16,25.25,3187.34,9,207,52.3
Great White Shark,4.19,6.79,1102.31,2179.65,74,56.58,16716.18,13,280,218.05
Sand Tiger Shark,2.76,2.95,166.97,281.88,16,21.97,3295.17,8,200,51.91
Great White Shark,4.53,6.81,1020.75,2067.7,76,51.39,17446.14,13,326,180.95
Sand Tiger Shark,3.1,3.45,161.75,301.29,14,23.07,2857.52,9,187,50.72
Great White Shark,4.7,6.29,1183.5,2111.21,70,59.26,17717.17,10,300,196.94
Sand Tiger Shark,3.09,3.07,150.94,284.34,16,23.05,2868.41,9,181,52.87
Great White Shark,4.51,6.89,1184.74,2210.91,72,50.5,16460.08,10,317,202.13
Sand Tiger Shark,2.92,3.41,153.52,321.95,14,24.06,2740.75,9,206,53.71
Great White Shark,4.14,6.11,1194.54,2049.09,68,57.43,17775.76,11,323,201.99
Sand Tiger Shark,2.74,3.23,150.16,291.87,14,22.58,3091.72,8,196,51.21
Great White Shark,4.7,6.15,1111.17,2038.83,75,51.04,18992.87,11,315,193.76
Sand Tiger Shark,2.73,3.24,144.55,290.72,16,22.18,3266.01,8,214,47.35
Great White Shark,4.62,6.88,1045.28,2059.82,75,53.38,16690.37,10,322,184.22
Sand Tiger Shark,2.84,2.98,149.52,328.64,13,26.22,3298.11,8,198,50.25
Great White Shark,4.16,5.89,1117.78,2098.13,70,53.67,18230.28,13,325,204.69
Sand Tiger Shark,2.96,2.89,147.37,310.67,13,25.04,2882.86,8,217,53.31
Great White Shark,4.58,6.22,1185.24,2241.9,63,52.49,18227.58,10,311,181.94
Sand Tiger Shark,3.0,3.27,158.6,271.93,14,25.52,3274.58,9,186,52.74
Great White Shark,4.87,6.0,1021.23,2169.77,75,51.84,16411.45,11,310,189.48
Sand Tiger Shark,3.18,2.97,146.49,295.5,13,24.34,3043.67,9,201,50.08
Great White Shark,4.14,6.59,1125.64,2195.42,63,59.41,17926.87,13,297,215.06
Sand Tiger Shark,2.9,3.1,165.43,309.6,14,25.44,2881.0,9,198,49.1
Great White Shark,4.74,5.81,1170.24,2038.71,74,57.4,16363.49,13,293,198.17
Sand Tiger Shark,3.28,3.11,167.33,309.64,16,24.57,3177.18,9,216,50.58
Great White Shark,4.48,6.44,1159.42,2329.99,74,60.36,18413.78,10,271,206.44
Sand Tiger Shark,3.12,2.89,164.58,285.87,14,24.56,3261.83,8,197,46.28
Great White Shark,4.57,6.02,991.51,2271.26,73,60.43,16816.73,10,280,188.63
Sand Tiger Shark,2.76,3.1,157.42,275.96,15,23.52,2991.58,8,196,52.13
Great White Shark,4.38,5.81,1172.15,2255.51,64,59.76,16236.62,13,319,184.26
Sand Tiger Shark,3.18,3.08,157.64,284.34,16,23.12,3249.98,9,200,47.34
Great White Shark,4.62,6.68,1140.81,2188.18,63,57.33,17703.1,11,327,211.74
Sand Tiger Shark,3.25,3.24,162.1,285.7,13,25.33,3243.72,8,200,49.64
Great White Shark,4.75,6.82,1118.57,2020.16,68,58.48,17735.15,13,299,180.03
Sand Tiger Shark,2.77,3.47,150.44,297.91,13,22.48,3212.89,9,195,53.78
Great White Shark,4.68,6.32,1028.32,1993.53,65,60.49,18272.4,13,288,190.85
Sand Tiger Shark,2.95,2.91,160.44,282.14,16,23.78,2926.53,8,200,51.01
Great White Shark,4.85,6.94,1083.85,2276.78,71,53.46,17753.78,13,308,204.99
Sand Tiger Shark,2.98,3.17,162.07,319.41,13,25.64,3156.45,8,199,46.82
Great White Shark,4.3,6.78,1065.44,2082.68,75,58.93,19284.73,13,281,182.53
Sand Tiger Shark,3.26,2.9,147.04,282.82,15,22.88,2999.99,8,198,53.96
Great White Shark,4.2,6.71,1159.47,2298.06,73,60.46,17746.79,13,273,197.55
Sand Tiger Shark,2.85,2.96,157.66,314.43,15,26.0,2958.91,8,194,46.26
Great White Shark,4.17,6.96,1144.88,2111.0,74,53.69,18866.39,13,291,201.72
Sand Tiger Shark,3.12,3.28,156.56,328.87,16,21.6,2821.3,9,193,45.94
Great White Shark,4.09,5.97,1121.34,2004.03,68,56.38,16357.12,11,288,204.9
Sand Tiger Shark,2.96,3.37,144.24,317.79,15,24.03,3279.4,8,194,53.23
Great White Shark,4.33,6.5,1089.58,2245.2,69,57.43,17309.97,13,309,208.54
Sand Tiger Shark,2.95,3.23,147.0,293.36,14,25.81,3134.35,9,200,46.92
Great White Shark,4.63,6.55,1003.52,2186.87,63,60.26,19613.59,10,281,213.38
Sand Tiger Shark,2.81,3.15,161.52,297.95,13,22.07,2842.8,9,207,47.07
Great White Shark,4.1,6.44,1069.83,2366.31,63,56.6,18046.47,11,325,181.04
Sand Tiger Shark,2.95,3.44,175.47,271.77,15,22.71,3025.7,8,195,45.56
Great White Shark,4.36,5.92,1173.53,2126.39,70,59.48,17067.67,10,318,198.19
Sand Tiger Shark,3.01,3.15,149.94,296.78,14,25.98,3071.91,9,204,50.04
Great White Shark,4.06,6.79,1137.78,2375.61,77,53.84,19295.97,12,284,187.75
Sand Tiger Shark,3.17,3.14,146.61,285.08,16,24.87,2756.78,9,198,53.41
Great White Shark,4.44,6.3,1137.01,2010.99,69,60.88,17405.14,11,277,209.23
Sand Tiger Shark,3.1,3.15,155.4,277.63,14,22.34,3279.84,9,180,45.3
